name,price,distance,hour,source
Lyft,7.0,0.44,1,Haymarket Square
Lyft,7.0,1.08,19,Back Bay
UberX,7.5,1.11,19,North End
Lyft,7.0,0.72,11,North Station
UberX,8.5,2.48,10,Beacon Hill
Lyft,11.0,3.24,18,North Station
UberX,9.5,2.94,12,North Station
Lyft,9.0,1.76,12,North Station
Lyft,7.0,0.71,12,Haymarket Square
Lyft,7.0,1.23,16,Haymarket Square
UberX,9.5,1.16,13,North End
UberX,9.5,2.67,2,North End
Lyft,7.0,1.16,10,Haymarket Square
UberX,9.5,3.39,13,Boston University
UberX,11.0,3.39,14,Boston University
Lyft,10.5,2.82,9,Fenway
UberX,12.0,2.49,9,South Station
UberX,12.0,3.07,2,Fenway
UberX,8.0,1.57,6,Theatre District
UberX,14.0,3.2,8,West End
UberX,12.0,3.61,0,North End
UberX,10.5,3.05,16,North Station
Lyft,9.0,1.75,20,Theatre District
Lyft,9.0,2.36,18,Beacon Hill
UberX,9.5,2.32,18,Back Bay
Lyft,7.0,1.17,13,Financial District
UberX,12.5,4.43,5,Fenway
Lyft,7.0,1.4,22,Back Bay
Lyft,7.0,1.01,11,North End
UberX,11.0,2.84,6,West End
UberX,10.5,1.81,19,North End
UberX,9.5,1.3,2,South Station
Lyft,9.0,2.44,22,Northeastern University
Lyft,10.5,3.04,4,Boston University
UberX,15.0,2.59,3,Northeastern University
Lyft,7.0,0.71,1,Haymarket Square
Lyft,11.0,3.25,13,West End
UberX,10.5,2.66,1,Theatre District
UberX,10.5,3.26,14,Northeastern University
UberX,9.5,2.81,10,Northeastern University
UberX,7.5,1.4,1,Back Bay
Lyft,9.0,1.08,12,South Station
Lyft,10.5,3.18,7,Theatre District
Lyft,7.0,1.08,3,North Station
UberX,11.5,2.63,22,Northeastern University
Lyft,10.5,3.14,5,Boston University
UberX,8.5,1.79,21,Haymarket Square
Lyft,10.5,2.16,4,South Station
Lyft,7.0,1.39,4,Beacon Hill
UberX,9.0,1.97,20,Beacon Hill
Lyft,11.0,2.92,7,Theatre District
Lyft,9.0,1.76,13,Theatre District
Lyft,7.0,1.02,1,North End
UberX,11.0,3.07,15,Fenway
UberX,8.5,1.16,15,North End
UberX,8.5,2.14,23,West End
UberX,7.0,0.91,20,Haymarket Square
UberX,11.5,2.58,15,South Station
Lyft,11.0,3.23,2,Fenway
Lyft,9.0,3.02,19,West End
Lyft,7.0,0.64,6,Haymarket Square
UberX,9.5,2.38,4,South Station
UberX,7.0,0.8,6,Haymarket Square
Lyft,10.5,2.61,5,Back Bay
Lyft,10.5,2.07,14,Beacon Hill
UberX,10.5,3.45,22,Back Bay
UberX,9.0,1.35,3,Beacon Hill
UberX,7.5,1.16,21,Haymarket Square
UberX,11.0,2.8,12,West End
Lyft,7.0,1.03,11,Financial District
Lyft,11.0,3.35,5,North Station
UberX,8.5,1.03,8,North End
Lyft,13.5,2.93,10,Boston University
UberX,7.5,1.07,15,North End
Lyft,11.0,3.17,18,North Station
UberX,9.5,1.57,6,Theatre District
Lyft,10.5,3.17,13,North Station
Lyft,7.0,1.2,22,North Station
Lyft,10.5,3.14,11,North Station
UberX,12.5,1.08,0,Back Bay
UberX,10.5,2.8,22,West End
UberX,9.5,1.58,21,South Station
UberX,8.0,1.71,1,West End
UberX,8.5,1.21,20,Financial District
Lyft,7.0,1.39,7,Haymarket Square
UberX,13.0,3.23,6,Boston University
UberX,11.5,1.61,23,Theatre District
UberX,10.5,3.3,21,Financial District
UberX,7.0,0.55,17,Theatre District
UberX,7.0,1.3,20,South Station
UberX,10.5,2.84,2,West End
UberX,10.5,4.42,23,Fenway
Lyft,7.0,1.45,14,Beacon Hill
UberX,11.0,1.79,13,North End
Lyft,9.0,1.35,13,Beacon Hill
UberX,7.5,0.61,10,Haymarket Square
UberX,7.0,0.39,2,Financial District
Lyft,13.5,3.8,0,Financial District
UberX,10.5,2.46,18,Fenway
UberX,10.5,2.34,23,North End
Lyft,10.5,2.56,6,South Station
UberX,7.0,0.39,23,Financial District
Lyft,9.0,2.35,4,Beacon Hill
UberX,9.0,2.46,20,Fenway
UberX,11.0,3.37,19,North Station
Lyft,7.0,1.52,19,Boston University
Lyft,22.5,3.25,8,South Station
UberX,10.5,2.66,5,Theatre District
Lyft,9.0,2.15,10,North Station
Lyft,10.5,2.56,18,South Station
UberX,9.0,2.14,6,West End
Lyft,10.5,2.05,5,South Station
Lyft,7.0,1.11,3,North End
Lyft,7.0,1.26,5,Financial District
Lyft,9.0,1.5,0,North End
Lyft,7.0,1.35,10,Beacon Hill
Lyft,13.5,4.76,21,Theatre District
UberX,7.5,1.34,8,Back Bay
Lyft,11.0,3.41,1,Financial District
Lyft,7.0,1.33,8,Back Bay
UberX,10.5,2.61,7,Northeastern University
Lyft,7.0,0.61,19,Theatre District
UberX,8.5,2.19,13,Beacon Hill
UberX,9.5,2.61,13,Northeastern University
UberX,9.0,1.04,22,North End
UberX,8.0,1.22,0,North End
UberX,9.5,2.58,0,South Station
Lyft,7.0,1.09,13,North Station
Lyft,10.5,2.93,1,Boston University
UberX,7.0,0.54,18,South Station
UberX,9.5,2.09,19,Haymarket Square
Lyft,9.0,1.66,1,South Station
UberX,8.5,1.92,8,Beacon Hill
UberX,12.0,2.33,13,Back Bay
UberX,9.5,3.04,10,Boston University
Lyft,11.0,2.25,6,Back Bay
Lyft,10.5,2.88,1,West End
Lyft,13.5,3.42,11,Boston University
UberX,8.0,1.41,2,Back Bay
UberX,7.0,1.03,22,North End
UberX,12.0,3.39,19,Boston University
Lyft,9.0,1.52,4,North End
Lyft,13.5,4.51,18,Financial District
UberX,7.5,1.08,8,North Station
Lyft,7.0,1.22,21,Haymarket Square
UberX,7.5,1.57,15,Theatre District
UberX,7.0,0.56,7,North Station
Lyft,11.0,3.47,1,Boston University
Lyft,13.5,4.09,1,Fenway
Lyft,9.0,2.73,8,Boston University
Lyft,10.5,3.19,15,Theatre District
Lyft,7.0,0.65,13,South Station
Lyft,10.5,2.78,1,Northeastern University
UberX,7.0,0.49,22,Haymarket Square
UberX,9.5,2.61,11,Northeastern University
Lyft,7.0,1.0,18,Haymarket Square
UberX,8.5,1.97,6,Beacon Hill
UberX,10.5,2.62,13,Northeastern University
Lyft,11.0,2.77,4,Northeastern University
UberX,7.5,0.91,9,Haymarket Square
Lyft,13.5,2.47,23,Fenway
UberX,9.5,2.44,3,Financial District
UberX,12.5,3.1,7,West End
UberX,9.5,1.89,15,Northeastern University
Lyft,10.5,2.3,11,Back Bay
Lyft,11.0,3.24,9,Fenway
Lyft,13.5,4.31,9,Theatre District
UberX,17.5,3.05,19,North Station
Lyft,7.0,1.06,22,West End
UberX,8.0,1.64,14,Northeastern University
UberX,14.0,1.34,9,Back Bay
UberX,9.0,2.94,11,North Station
UberX,8.5,1.89,8,Northeastern University
UberX,11.5,2.3,18,Haymarket Square
UberX,13.0,3.19,12,Back Bay
UberX,6.5,0.49,8,Haymarket Square
Lyft,7.0,1.45,2,Back Bay
UberX,8.0,1.86,16,West End
Lyft,9.0,1.34,0,Haymarket Square
Lyft,13.5,4.1,23,Fenway
Lyft,9.0,1.74,4,Theatre District
Lyft,9.0,2.31,10,Beacon Hill
Lyft,10.5,2.81,10,North End
Lyft,11.0,2.83,4,West End
Lyft,10.5,3.48,17,Boston University
Lyft,9.0,1.78,7,South Station
