Item#,Total sales,Stockout_time,Cluster_k2,Lost_Pct_k2,Est_Demand_k2,Cluster_k4,Lost_Pct_k4,Est_Demand_k4
5,3115,hour 20,0.0,0.09144432717405883,3428.5185742236445,1.0,0.09071918572273498,3425.7843683592228
6,4404,hour 22,1.0,0.04555268294746415,4614.188673713449,2.0,0.04701612678070596,4621.274424217441
12,4943,hour 20,1.0,0.09342265784630799,5452.375401592612,3.0,0.09361335628053868,5453.52254940103
13,6916,hour 21,1.0,0.06986376576233566,7435.469929486538,2.0,0.06979056944271811,7434.884847229159
14,4783,hour 21,1.0,0.06986376576233566,5142.257471476882,3.0,0.07019385100879082,5144.082995352637
17,6294,hour 22,0.0,0.044946664095258465,6590.207858954354,1.0,0.044269514201368265,6585.538594325136
19,4716,hour 21,0.0,0.06829150470633105,5061.668991773597,3.0,0.07019385100879082,5072.024964683888
26,2699,hour 22,0.0,0.044946664095258465,2826.02017974544,1.0,0.044269514201368265,2824.01790055347
27,3267,hour 24,0.0,0.0,3267.0,1.0,0.0,3267.0
32,4482,hour 23,1.0,0.021724438884864146,4581.531194432549,3.0,0.02205865980218666,4583.096977057338
33,4203,hour 23,0.0,0.022090288934363222,4297.942798236408,1.0,0.021351565090216153,4294.698535319735
36,3206,hour 1,0.0,0.8090669248215284,16791.223820195864,1.0,0.8150598543929426,17335.338357588367
37,3084,hour 1,0.0,0.8090669248215284,16152.2564758216,3.0,0.7867050903026241,14458.854195703021
38,5025,hour 14,0.0,0.273949721552534,6921.0082953829315,1.0,0.27324024855531603,6914.251910636343
39,5383,hour 1,0.0,0.8090669248215284,28193.12471120223,1.0,0.8150598543929426,29106.71440389837
41,3044,hour 19,0.0,0.11404228367867734,3435.8298865992265,1.0,0.11326690527320496,3432.825523375627
42,6358,hour 24,1.0,0.0,6358.0,3.0,0.0,6358.0
43,3561,hour 24,1.0,0.0,3561.0,2.0,0.0,3561.0
46,3016,hour 22,1.0,0.04555268294746415,3159.943923687503,0.0,0.044726577455825874,3157.211253682223
47,3669,hour 1,0.0,0.8090669248215284,19216.157266468694,1.0,0.8150598543929426,19838.851039922556
52,2833,hour 24,0.0,0.0,2833.0,3.0,0.0,2833.0
58,4517,hour 17,0.0,0.17145845538078722,5451.748351467344,1.0,0.17048161302869363,5445.328362753033
63,3105,hour 18,0.0,0.13795094439466954,3601.883187285288,1.0,0.13669242395983358,3596.6324009828177
64,4139,hour 1,1.0,0.7848918709421551,19241.48575011304,3.0,0.7867050903026241,19405.057560316083
68,3923,hour 23,0.0,0.022090288934363222,4011.6177962125694,1.0,0.021351565090216153,4008.5896631119017
70,4121,hour 16,0.0,0.20586989900107153,5189.326024559748,1.0,0.20496667940129043,5183.430547158238
73,6505,hour 23,1.0,0.021724438884864146,6649.455693838405,3.0,0.02205865980218666,6651.728209673803
75,7559,hour 1,0.0,0.8090669248215284,39589.788164959624,0.0,0.7840067423939935,34996.46277750196
80,8817,hour 1,0.0,0.8090669248215284,46178.48422416312,1.0,0.8150598543929426,47674.884060778735
83,3068,hour 1,0.0,0.8090669248215284,16068.45747983809,1.0,0.8150598543929426,16589.15099222742
85,3903,hour 22,1.0,0.04555268294746415,4089.2775643741124,3.0,0.04539681325758836,4088.6098582165937
86,3507,hour 23,1.0,0.021724438884864146,3584.8794955098056,3.0,0.02205865980218666,3586.104662771103
87,3650,hour 23,0.0,0.022090288934363222,3732.4509192393266,2.0,0.022376659513252316,3733.54424842466
90,3767,hour 1,1.0,0.7848918709421551,17512.122933238905,2.0,0.7857769156876936,17584.472803632387
91,3039,hour 22,0.0,0.044946664095258465,3182.0212398097046,1.0,0.044269514201368265,3179.76672833716
96,3868,hour 19,0.0,0.11404228367867734,4365.896846703617,1.0,0.11326690527320496,4362.079213014759
99,3992,hour 20,0.0,0.09144432717405883,4393.78688548982,1.0,0.09071918572273498,4390.28288876084
101,3825,hour 17,0.0,0.17145845538078722,4616.545814558908,1.0,0.17048161302869363,4611.1093618619325
103,4520,hour 1,0.0,0.8090669248215284,23673.216365341646,1.0,0.8150598543929426,24440.33979298173
106,6393,hour 14,0.0,0.273949721552534,8805.17532982748,1.0,0.27324024855531603,8796.579594964804
111,4583,hour 1,0.0,0.8090669248215284,24003.174912026716,1.0,0.8150598543929426,24780.990546733465
114,3104,hour 15,0.0,0.2399319183518102,4083.844690950644,1.0,0.23928971379195121,4080.397039814811
117,3799,hour 23,1.0,0.021724438884864146,3883.3639017512837,2.0,0.022376659513252316,3885.954684867201
118,3304,hour 22,0.0,0.044946664095258465,3459.492654271558,1.0,0.044269514201368265,3457.041549992095
119,8179,hour 21,1.0,0.06986376576233566,8793.335534018275,0.0,0.06992211848965856,8793.887224495897
120,5654,hour 1,0.0,0.8090669248215284,29612.470205672933,1.0,0.8150598543929426,30572.053360512986
121,3752,hour 21,0.0,0.06829150470633105,4027.0106143202997,1.0,0.06717384420128529,4022.1856738005176
123,3084,hour 18,0.0,0.13795094439466954,3577.522624665967,1.0,0.13669242395983358,3572.3073509278615
128,3710,hour 20,0.0,0.09144432717405883,4083.40414458097,1.0,0.09071918572273498,4080.147674675029
129,2992,hour 1,1.0,0.7848918709421551,13909.283731417785,3.0,0.7867050903026241,14027.526508931076
130,5289,hour 21,1.0,0.06986376576233566,5686.263802350246,2.0,0.06979056944271811,5685.816361624497
131,8638,hour 18,0.0,0.13795094439466954,10020.311424080617,1.0,0.13669242395983358,10005.703922605338
133,5561,hour 21,0.0,0.06829150470633105,5968.605017653302,1.0,0.06717384420128529,5961.453766525767
134,3226,hour 20,0.0,0.09144432717405883,3550.6905041558516,1.0,0.09071918572273498,3547.858867520659
142,4469,hour 21,1.0,0.06986376576233566,4804.672515164161,2.0,0.06979056944271811,4804.294445093567
143,6312,hour 24,1.0,0.0,6312.0,2.0,0.0,6312.0
145,3703,hour 1,0.0,0.8090669248215284,19394.23013293365,1.0,0.8150598543929426,20022.694303852066
146,4053,hour 20,1.0,0.09342265784630799,4470.661036345308,0.0,0.09415252491613463,4474.263175072342
151,7656,hour 21,1.0,0.06986376576233566,8231.052310605688,3.0,0.07019385100879082,8233.974370148399
155,2719,hour 17,0.0,0.17145845538078722,3281.6700836040973,1.0,0.17048161302869363,3277.8055829810705
159,3311,hour 1,1.0,0.7848918709421551,15392.258835135124,0.0,0.7840067423939935,15329.182200861092
